Kabupaten,Provinsi
Kabupaten Kepulauan Selayar,Sulawesi Selatan
Kabupaten Kepulauan Siau Tagulandang Biaro,Sulawesi Utara
Kabupaten Kepulauan Sula,Maluku Utara
Kabupaten Kepulauan Talaud,Sulawesi Utara
Kabupaten Kepulauan Tanimbar,Maluku
Kabupaten Kepulauan Yapen,Papua
Kabupaten Kerinci,Jambi
Kabupaten Ketapang,Kalimantan Barat
Kabupaten Klaten,Jawa Tengah
Kabupaten Klungkung,Bali
Kabupaten Kolaka,Sulawesi Tenggara
Kabupaten Kolaka Timur,Sulawesi Tenggara
Kabupaten Kolaka Utara,Sulawesi Tenggara
Kabupaten Konawe,Sulawesi Tenggara
Kabupaten Konawe Kepulauan,Sulawesi Tenggara
Kabupaten Konawe Selatan,Sulawesi Tenggara
Kabupaten Konawe Utara,Sulawesi Tenggara
Kabupaten Kotabaru,Kalimantan Selatan
Kabupaten Kotawaringin Barat,Kalimantan Tengah
Kabupaten Kotawaringin Timur,Kalimantan Tengah
Kabupaten Kuantan Singingi,Riau
Kabupaten Kubu Raya,Kalimantan Barat
Kabupaten Kudus,Jawa Tengah
Kabupaten Kulon Progo,Daerah Istimewa Yogyakarta
Kabupaten Kuningan,Jawa Barat
Kabupaten Kupang,Nusa Tenggara Timur
Kabupaten Kutai Barat,Kalimantan Timur
Kabupaten Kutai Kartanegara,Kalimantan Timur
Kabupaten Kutai Timur,Kalimantan Timur
Kabupaten Labuhanbatu,Sumatra Utara
Kabupaten Labuhanbatu Selatan,Sumatra Utara
Kabupaten Labuhanbatu Utara,Sumatra Utara
Kabupaten Lahat,Sumatra Selatan
Kabupaten Lamandau,Kalimantan Tengah
Kabupaten Lamongan,Jawa Timur
Kabupaten Lampung Barat,Lampung
Kabupaten Lampung Selatan,Lampung
Kabupaten Lampung Tengah,Lampung
Kabupaten Lampung Timur,Lampung
Kabupaten Lampung Utara,Lampung
Kabupaten Landak,Kalimantan Barat
Kabupaten Langkat,Sumatra Utara
Kabupaten Lanny Jaya,Papua Pegunungan
Kabupaten Lebak,Banten
Kabupaten Lebong,Bengkulu
Kabupaten Lembata,Nusa Tenggara Timur
Kabupaten Lima Puluh Kota,Sumatra Barat
Kabupaten Lingga,Kepulauan Riau
Kabupaten Lombok Barat,Nusa Tenggara Barat
Kabupaten Lombok Tengah,Nusa Tenggara Barat
Kabupaten Lombok Timur,Nusa Tenggara Barat
Kabupaten Lombok Utara,Nusa Tenggara Barat
Kabupaten Lumajang,Jawa Timur
Kabupaten Luwu,Sulawesi Selatan
Kabupaten Luwu Timur,Sulawesi Selatan
Kabupaten Luwu Utara,Sulawesi Selatan
Kabupaten Madiun,Jawa Timur
Kabupaten Magelang,Jawa Tengah
Kabupaten Magetan,Jawa Timur
Kabupaten Mahakam Ulu,Kalimantan Timur
Kabupaten Majalengka,Jawa Barat
Kabupaten Majene,Sulawesi Barat
Kabupaten Malaka,Nusa Tenggara Timur
Kabupaten Malang,Jawa Timur
Kabupaten Malinau,Kalimantan Utara
Kabupaten Maluku Barat Daya,Maluku
Kabupaten Maluku Tengah,Maluku
Kabupaten Maluku Tenggara,Maluku
Kabupaten Mamasa,Sulawesi Barat
Kabupaten Mamberamo Raya,Papua
Kabupaten Mamberamo Tengah,Papua Pegunungan
Kabupaten Mamuju,Sulawesi Barat
Kabupaten Mamuju Tengah,Sulawesi Barat
Kabupaten Mandailing Natal,Sumatra Utara
Kabupaten Manggarai,Nusa Tenggara Timur
Kabupaten Manggarai Barat,Nusa Tenggara Timur
Kabupaten Manggarai Timur,Nusa Tenggara Timur
Kabupaten Manokwari,Papua Barat
Kabupaten Manokwari Selatan,Papua Barat
Kabupaten Mappi,Papua Selatan
Kabupaten Maros,Sulawesi Selatan
Kabupaten Maybrat,Papua Barat Daya
Kabupaten Melawi,Kalimantan Barat
Kabupaten Mempawah,Kalimantan Barat
Kabupaten Merangin,Jambi
Kabupaten Merauke,Papua Selatan
Kabupaten Mesuji,Lampung
Kabupaten Mimika,Papua Tengah
Kabupaten Minahasa,Sulawesi Utara
Kabupaten Minahasa Selatan,Sulawesi Utara
Kabupaten Minahasa Tenggara,Sulawesi Utara
Kabupaten Minahasa Utara,Sulawesi Utara
Kabupaten Mojokerto,Jawa Timur
Kabupaten Morowali,Sulawesi Tengah
Kabupaten Morowali Utara,Sulawesi Tengah
Kabupaten Muara Enim,Sumatra Selatan
Kabupaten Muaro Jambi,Jambi
Kabupaten Mukomuko,Bengkulu
Kabupaten Muna,Sulawesi Tenggara
Kabupaten Muna Barat,Sulawesi Tenggara
Kabupaten Murung Raya,Kalimantan Tengah
Kabupaten Musi Banyuasin,Sumatra Selatan
Kabupaten Musi Rawas,Sumatra Selatan
Kabupaten Musi Rawas Utara,Sumatra Selatan
Kabupaten Nabire,Papua Tengah
Kabupaten Nagan Raya,Aceh
Kabupaten Nagekeo,Nusa Tenggara Timur
Kabupaten Natuna,Kepulauan Riau
Kabupaten Nduga,Papua Pegunungan
Kabupaten Ngada,Nusa Tenggara Timur
Kabupaten Nganjuk,Jawa Timur
Kabupaten Ngawi,Jawa Timur
Kabupaten Nias,Sumatra Utara
Kabupaten Nias Barat,Sumatra Utara
Kabupaten Nias Selatan,Sumatra Utara
Kabupaten Nias Utara,Sumatra Utara
Kabupaten Nunukan,Kalimantan Utara
Kabupaten Ogan Ilir,Sumatra Selatan
Kabupaten Ogan Komering Ilir,Sumatra Selatan
Kabupaten Ogan Komering Ulu,Sumatra Selatan
Kabupaten Ogan Komering Ulu Selatan,Sumatra Selatan
Kabupaten Ogan Komering Ulu Timur,Sumatra Selatan
Kabupaten Pacitan,Jawa Timur
Kabupaten Padang Lawas,Sumatra Utara
Kabupaten Padang Lawas Utara,Sumatra Utara
Kabupaten Padang Pariaman,Sumatra Barat
Kabupaten Pakpak Bharat,Sumatra Utara
Kabupaten Pamekasan,Jawa Timur
Kabupaten Pandeglang,Banten
Kabupaten Pangandaran,Jawa Barat
Kabupaten Pangkajene Dan Kepulauan,Sulawesi Selatan
Kabupaten Paniai,Papua Tengah
Kabupaten Parigi Moutong,Sulawesi Tengah
Kabupaten Pasaman,Sumatra Barat
Kabupaten Pasaman Barat,Sumatra Barat
Kabupaten Pasangkayu,Sulawesi Barat
Kabupaten Paser,Kalimantan Timur
Kabupaten Pasuruan,Jawa Timur
Kabupaten Pati,Jawa Tengah
Kabupaten Pegunungan Arfak,Papua Barat
Kabupaten Pegunungan Bintang,Papua Pegunungan
Kabupaten Pekalongan,Jawa Tengah
Kabupaten Pelalawan,Riau
Kabupaten Pemalang,Jawa Tengah
Kabupaten Penajam Paser Utara,Kalimantan Timur
Kabupaten Penukal Abab Lematang Ilir,Sumatra Selatan
Kabupaten Pesawaran,Lampung
Kabupaten Pesisir Barat,Lampung
Kabupaten Pesisir Selatan,Sumatra Barat
Kabupaten Pidie,Aceh
Kabupaten Pidie Jaya,Aceh
Kabupaten Pinrang,Sulawesi Selatan
Kabupaten Pohuwato,Gorontalo
Kabupaten Polewali Mandar,Sulawesi Barat
Kabupaten Ponorogo,Jawa Timur
Kabupaten Poso,Sulawesi tengah
Kabupaten Pringsewu,Lampung
Kabupaten Probolinggo,Jawa Timur
Kabupaten Pulang Pisau,Kalimantan Tengah
Kabupaten Pulau Morotai,Maluku Utara
Kabupaten Pulau Taliabu,Maluku Utara
Kabupaten Puncak,Papua Tengah
Kabupaten Puncak Jaya,Papua Tengah
Kabupaten Purbalingga,Jawa Tengah
Kabupaten Purwakarta,Jawa Barat
Kabupaten Purworejo,Jawa Tengah
Kabupaten Raja Ampat,Papua Barat Daya
Kabupaten Rejang Lebong,Bengkulu
Kabupaten Rembang,Jawa Tengah
Kabupaten Rokan Hilir,Riau
Kabupaten Rokan Hulu,Riau
Kabupaten Rote Ndao,Nusa Tenggara Timur
Kabupaten Sabu Raijua,Nusa Tenggara Timur
Kabupaten Sambas,Kalimantan Barat
Kabupaten Samosir,Sumatra Utara
Kabupaten Sampang,Jawa Timur
Kabupaten Sanggau,Kalimantan Barat
Kabupaten Sarmi,Papua
Kabupaten Sarolangun,Jambi
Kabupaten Sekadau,Kalimantan Barat
Kabupaten Seluma,Bengkulu
Kabupaten Semarang,Jawa Tengah
Kabupaten Seram Bagian Barat,Maluku
Kabupaten Seram Bagian Timur,Maluku
Kabupaten Serang,Banten
Kabupaten Serdang Bedagai,Sumatra Utara
Kabupaten Seruyan,Kalimantan Tengah
Kabupaten Siak,Riau
Kabupaten Sidenreng Rappang,Sulawesi Selatan
Kabupaten Sidoarjo,Jawa Timur
Kabupaten Sigi,Sulawesi Tengah
Kabupaten Sijunjung,Sumatra Barat
Kabupaten Sikka,Nusa Tenggara Timur
Kabupaten Simalungun,Sumatra Utara
Kabupaten Simeulue,Aceh
Kabupaten Sinjai,Sulawesi Selatan
Kabupaten Sintang,Kalimantan Barat
Kabupaten Situbondo,Jawa Timur
Kabupaten Sleman,Daerah Istimewa Yogyakarta
Kabupaten Solok,Sumatra Barat
Kabupaten Solok Selatan,Sumatra Barat
Kabupaten Soppeng,Sulawesi Selatan
Kabupaten Sorong,Papua Barat Daya
Kabupaten Sorong Selatan,Papua Barat Daya
Kabupaten Sragen,Jawa Tengah
Kabupaten Subang,Jawa Barat
Kabupaten Sukabumi,Jawa Barat
Kabupaten Sukamara,Kalimantan Tengah
Kabupaten Sukoharjo,Jawa Tengah
Kabupaten Sumba Barat,Nusa Tenggara Timur
Kabupaten Sumba Barat Daya,Nusa Tenggara Timur
Kabupaten Sumba Tengah,Nusa Tenggara Timur
Kabupaten Sumba Timur,Nusa Tenggara Timur
Kabupaten Sumbawa,Nusa Tenggara Barat
Kabupaten Sumbawa Barat,Nusa Tenggara Barat
Kabupaten Sumedang,Jawa Barat
Kabupaten Sumenep,Jawa Timur
Kabupaten Supiori,Papua
Kabupaten Tabalong,Kalimantan Selatan
Kabupaten Tabanan,Bali
Kabupaten Takalar,Sulawesi Selatan
Kabupaten Tambrauw,Papua Barat Daya
Kabupaten Tana Tidung,Kalimantan Utara
Kabupaten Tana Toraja,Sulawesi Selatan
Kabupaten Tanah Bumbu,Kalimantan Selatan
Kabupaten Tanah Datar,Sumatra Barat
Kabupaten Tanah Laut,Kalimantan Selatan
Kabupaten Tangerang,Banten
Kabupaten Tanggamus,Lampung
Kabupaten Tanjung Jabung Barat,Jambi
Kabupaten Tanjung Jabung Timur,Jambi
Kabupaten Tapanuli Selatan,Sumatra Utara
Kabupaten Tapanuli Tengah,Sumatra Utara
Kabupaten Tapanuli Utara,Sumatra Utara
Kabupaten Tapin,Kalimantan Selatan
Kabupaten Tasikmalaya,Jawa Barat
Kabupaten Tebo,Jambi
Kabupaten Tegal,Jawa Tengah
Kabupaten Teluk Bintuni,Papua Barat
Kabupaten Teluk Wondama,Papua Barat
Kabupaten Temanggung,Jawa Tengah
Kabupaten Timor Tengah Selatan,Nusa Tenggara Timur
Kabupaten Timor Tengah Utara,Nusa Tenggara Timur
Kabupaten Toba,Sumatra Utara
Kabupaten Tojo Una Una,Sulawesi Tengah
Kabupaten Tolikara,Papua Pegunungan
Kabupaten Tolitoli,Sulawesi Tengah
Kabupaten Toraja Utara,Sulawesi Selatan
Kabupaten Trenggalek,Jawa Timur
Kabupaten Tuban,Jawa Timur
Kabupaten Tulang Bawang,Lampung
Kabupaten Tulang Bawang Barat,Lampung
Kabupaten Tulungagung,Jawa Timur
Kabupaten Wajo,Sulawesi Selatan
Kabupaten Wakatobi,Sulawesi Tenggara
Kabupaten Waropen,Papua
Kabupaten Way Kanan,Lampung
Kabupaten Wonogiri,Jawa Tengah
Kabupaten Wonosobo,Jawa Tengah
Kabupaten Yahukimo,Papua Pegunungan
Kabupaten Yalimo,Papua Pegunungan
